DATE,DEXUSEU
2014-01-02,1.3670
2014-01-03,1.3606
2014-01-06,1.3636
2014-01-07,1.3618
2014-01-08,1.3586
2014-01-09,1.3591
2014-01-10,1.3664
2014-01-13,1.3647
2014-01-14,1.3682
2014-01-15,1.3604
2014-01-16,1.3600
2014-01-17,1.3554
2014-01-20,.
2014-01-21,1.3560
2014-01-22,1.3546
2014-01-23,1.3680
2014-01-24,1.3680
2014-01-27,1.3679
2014-01-28,1.3662
2014-01-29,1.3663
2014-01-30,1.3549
2014-01-31,1.3500
2014-02-03,1.3523
2014-02-04,1.3507
2014-02-05,1.3519
2014-02-06,1.3604
2014-02-07,1.3614
2014-02-10,1.3644
2014-02-11,1.3654
2014-02-12,1.3592
2014-02-13,1.3669
2014-02-14,1.3690
2014-02-17,.
2014-02-18,1.3758
2014-02-19,1.3762
2014-02-20,1.3690
2014-02-21,1.3722
2014-02-24,1.3744
2014-02-25,1.3749
2014-02-26,1.3668
2014-02-27,1.3724
2014-02-28,1.3806
2014-03-03,1.3763
2014-03-04,1.3731
2014-03-05,1.3734
2014-03-06,1.3848
2014-03-07,1.3868
2014-03-10,1.3880
2014-03-11,1.3867
2014-03-12,1.3904
2014-03-13,1.3927
2014-03-14,1.3924
2014-03-17,1.3927
2014-03-18,1.3913
2014-03-19,1.3910
2014-03-20,1.3784
2014-03-21,1.3783
2014-03-24,1.3784
2014-03-25,1.3777
2014-03-26,1.3786
2014-03-27,1.3752
2014-03-28,1.3753
2014-03-31,1.3777
2014-04-01,1.3804
2014-04-02,1.3761
2014-04-03,1.3708
2014-04-04,1.3704
2014-04-07,1.3745
2014-04-08,1.3802
2014-04-09,1.3816
2014-04-10,1.3892
2014-04-11,1.3898
2014-04-14,1.3824
2014-04-15,1.3806
2014-04-16,1.3820
2014-04-17,1.3832
2014-04-18,1.3816
2014-04-21,1.3790
2014-04-22,1.3804
2014-04-23,1.3814
2014-04-24,1.3828
2014-04-25,1.3838
2014-04-28,1.3844
2014-04-29,1.3808
2014-04-30,1.3870
2014-05-01,1.3867
2014-05-02,1.3864
2014-05-05,1.3884
2014-05-06,1.3924
2014-05-07,1.3917
2014-05-08,1.3864
2014-05-09,1.3763
2014-05-12,1.3760
2014-05-13,1.3711
2014-05-14,1.3718
2014-05-15,1.3712
2014-05-16,1.3708
2014-05-19,1.3716
